#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Oct 13 19:09:59 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       music_player_map.ncd
#OUTPUT FILE:      music_player_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C7,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,
C8,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,
C9,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
D1,data<13>,IOB,IO_L17N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
D2,data<15>,IOB,IO_L17P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
D3,addr<20>,IOB,IO_L19P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,
D5,s,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D6,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,
D7,,DIFFM,IO_L29P_0,UNUSED,,0,,,,,,,,,
D8,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
D9,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
D10,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,
D14,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,
E1,data<12>,IOB,IO_L20N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
E2,data<14>,IOB,IO_L20P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
E3,addr<9>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E4,CE,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
E7,,DIFFS,IO_L29N_0,UNUSED,,0,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,2.50,,,,
E9,,,VCCO_1,,,1,,,,,any******,,,,
E10,,DIFFM,IO_L30P_1,UNUSED,,1,,,,,,,,,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,
E13,hex<1>,IOB,IO_L19N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E14,hex<5>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,
F2,data<11>,IOB,IO_L22N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
F3,addr<15>,IOB,IO_L22P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F4,addr<10>,IOB,IO_L21N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,addr<11>,IOB,IO_L23P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,
F9,,,VCCO_1,,,1,,,,,any******,,,,
F10,,,VCCO_1,,,1,,,,,any******,,,,
F11,,,GND,,,,,,,,,,,,
F12,AN<3>,IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F13,hex<0>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F14,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,
G1,data<9>,IOB,IO_L40P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
G2,data<10>,IOB,IO,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
G3,addr<8>,IOB,IO_L24N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G4,addr<17>,IOB,IO_L24P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G5,addr<19>,IOB,IO_L23N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,
G12,AN<1>,IOB,IO_L23N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G13,AN<2>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G14,AN<0>,IOB,IO_L24N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G15,hex<2>,IOB,IO_L24P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G16,hex<6>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H1,data<8>,IOB,IO_L40N_7/VREF_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
H2,,,GND,,,,,,,,,,,,
H3,addr<18>,IOB,IO_L39N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H4,addr<6>,IOB,IO_L39P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,
H13,hex<3>,IOB,IO_L39N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H14,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,,,,
H15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,
H16,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,
J1,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,
J2,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,
J3,addr<1>,IOB,IO_L39P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J4,addr<4>,IOB,IO_L39N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J5,,,VCCO_6,,,6,,,,,2.50,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,
J13,btn<0>,IOB,IO_L39P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
J14,hex<4>,IOB,IO_L39N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J15,,,GND,,,,,,,,,,,,
J16,sw<1>,IOB,IO_L40N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K1,VPEN,IOB,IO,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K2,OE,IOB,IO_L24P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K3,addr<5>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K4,addr<7>,IOB,IO_L23P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K5,addr<2>,IOB,IO_L23N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,,,VCCO_6,,,6,,,,,2.50,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,
K12,btn<3>,IOB,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K13,btn<2>,IOB,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K14,btn<1>,IOB,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,
K16,sw<2>,IOB,IO_L40P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
L1,,,VCCAUX,,,,,,,,2.5,,,,
L2,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,
L3,addr<3>,IOB,IO_L22N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L4,addr<16>,IOB,IO_L21P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L5,addr<13>,IOB,IO_L21N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,
L11,,,GND,,,,,,,,,,,,
L12,LED<3>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L13,LED<1>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L14,LED<0>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,
M1,data<1>,IOB,IO_L20P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M2,data<0>,IOB,IO_L20N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M3,addr<14>,IOB,IO_L19P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M4,addr<21>,IOB,IO_L19N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,
M6,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,
M7,,DIFFM,IO_L30P_5,UNUSED,,5,,,,,,,,,
M8,,,VCCO_5,,,5,,,,,2.50,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,
M10,PDB<6>,IOB,IO_L29N_4,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M11,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,LED<5>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M14,LED<2>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M15,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,
M16,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
N1,data<3>,IOB,IO_L17P_6/VREF_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N2,data<2>,IOB,IO_L17N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N3,addr<12>,IOB,IO_L16P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,
N5,EppWAIT,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N6,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,
N7,EPPWRITE,IOB,IO_L30N_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
N8,EPPASTB,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
N9,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,
N10,PDB<4>,IOB,IO_L29P_4,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N11,PDB<2>,IOB,IO_L27P_4/D1,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N12,PDB<0>,IOB,IO/VREF_4,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,LED<4>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N15,sw<0>,IOB,IO_L17P_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N16,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,
P1,data<5>,IOB,IO_L01P_6/VRN_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P2,data<4>,IOB,IO_L16N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P3,,,M0,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,
P5,,DIFFM,IO_L27P_5,UNUSED,,5,,,,,,,,,
P6,,DIFFM,IO_L29P_5/VREF_5,UNUSED,,5,,,,,,,,,
P7,EppDSTB,IOB,IO,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
P8,,DIFFS,IO_L32N_5/GCLK3,UNUSED,,5,,,,,,,,,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P10,PDB<5>,IOB,IO_L30N_4/D2,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P11,PDB<3>,IOB,IO_L28N_4,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P12,PDB<1>,IOB,IO_L25N_4,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P13,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P14,LED<6>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P15,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,
P16,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,
R1,data<6>,IOB,IO_L01N_6/VRP_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R2,,,GND,,,,,,,,,,,,
R3,data<7>,IOB,IO_L01P_5/CS_B,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R4,ST,IOB,IO_L10P_5/VRN_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
R5,,DIFFS,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,,,
R6,,DIFFS,IO_L29N_5,UNUSED,,5,,,,,,,,,
R7,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,
R8,,,GND,,,,,,,,,,,,
R9,,DIFFS,IO_L32N_4/GCLK1,UNUSED,,4,,,,,,,,,
R10,PDB<7>,IOB,IO_L30P_4/D3,BIDIR,LVCMOS25*,4,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R11,,DIFFM,IO_L28P_4,UNUSED,,4,,,,,,,,,
R12,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,
R13,echo,IOB,IO_L01N_4/VRP_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
R14,,,DONE,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,
R16,LED<7>,IOB,IO_L01P_3/VRN_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T1,,,GND,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,
T3,WE,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T4,RP,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T5,,IOB,IO,UNUSED,,5,,,,,,,,,
T6,,,VCCAUX,,,,,,,,2.5,,,,
T7,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
T8,,IOB,IO/VREF_5,UNUSED,,5,,,,,,,,,
T9,,DIFFM,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,,,
T10,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
T11,,,VCCAUX,,,,,,,,2.5,,,,
T12,,IOB,IO,UNUSED,,4,,,,,,,,,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
T14,trigger,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T15,,,CCLK,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
